Skill,Assignment,Student,Speed,PercentCorrect,MasterySpeed,HintUsage,Complete
A,1,0,11.5733735211,0.5,14,0.0714285714286,1
B,2,0,8.60711711108,0.555555555556,9,0.111111111111,1
C,3,0,16.9309125941,0.75,4,0.0,1
D,4,0,6.9781052105,0.5,8,0.125,1
A,5,0,10.4387387974,0.444444444444,36,0.0277777777778,1
B,6,0,8.12316490684,0.4375,16,0.25,1
C,7,0,14.6286961282,0.5,6,0.5,1
D,8,0,10.5392059223,0.466666666667,15,0.0,1
E,9,0,8.77763678521,0.75,4,0.25,1
F,10,0,12.1333888211,0.444444444444,27,0.037037037037,1
G,11,0,5.73173566443,0.5,10,0.1,1
H,12,0,7.79605852684,0.428571428571,14,0.214285714286,1
I,13,0,9.77658882414,0.571428571429,7,0.142857142857,1
D,14,0,9.97039127118,0.428571428571,35,0.0285714285714,1
F,15,0,13.5473481109,0.538461538462,13,0.0769230769231,1
G,16,0,11.024341531,0.714285714286,7,0.285714285714,1
E,17,0,6.98234948196,0.533333333333,15,0.0,1
H,18,0,7.56513850487,0.5,8,0.125,1
J,19,0,12.9189158769,0.428571428571,14,0.142857142857,1
B,20,0,9.26058469858,0.5,8,0.25,1
C,21,0,20.2871082685,0.5,8,0.125,1
D,22,0,10.2122002347,0.34,50,0.1,0
E,23,0,6.30559089128,0.583333333333,12,0.0,1
F,24,0,11.0908517209,0.24,50,0.0,0
G,25,0,7.6942211293,0.571428571429,7,0.0,1
H,26,0,10.7924828846,1.0,3,0.0,1
I,27,0,11.3584098246,0.6,5,0.4,1
J,28,0,13.3641181325,0.363636363636,11,0.181818181818,1
A,1,1,5.64771189998,1.0,3,0.0,1
B,2,1,10.7621947125,0.75,4,0.25,1
C,3,1,16.1783966336,0.625,8,0.125,1
D,4,1,10.7012252559,0.75,4,0.0,1
E,5,1,11.5733845545,1.0,3,0.0,1
F,6,1,11.8306122228,0.8,5,0.2,1
G,7,1,8.58623990411,0.6,5,0.0,1
